Criteria	Criterion Ca: Reduction of Intragroup Variation	Criterion Cb: Differential Metabolic Analysis	Criterion Cc: Consistency in Marker Discovery	Criterion Cd: Classification Accuracy
Mea+Log+RAN+CUB	40	5	10	5
KNN+Log+LEV+MED	40	10	5	5
HaM+Cub+PAR+CUB	40	5	10	5
Med+Cub+POW+MED	40	10	5	5
KNN+Log+LOE+POW	40	10	5	5
Med+Cub+PAR+CUB	5	10	40	5
Med+Cub+POW+MEA	5	10	40	5
Mea+Cub+PAR+CUB	5	10	40	5
KNN+Cub+CUB+LEV	5	10	40	5
Mea+Cub+POW+MED	5	10	40	5
Med+Cub+CUB+LEV	10	5	10	5
Mea+Cub+POW+MEA	5	10	10	5
HaM+Non+PAR+CUB	5	10	10	5
Med+Cub+PQN+POW	40	5	5	5
KNN+Log+POW+MED	40	5	5	5
KNN+Cub+PQN+POW	5	5	10	5
KNN+Non+MST+POW	5	5	5	5
Mea+Non+MST+POW	40	40	10	40
KNN+Cub+POW+MEA	40	40	10	40
Mea+Cub+PQN+POW	40	40	10	40
Mea+Cub+CUB+LEV	40	10	10	40
KNN+Cub+PAR+CUB	40	10	10	40
KNN+Log+PQN+POW	10	40	10	40
KNN+Cub+AUT+CUB	40	10	10	40
Mea+Cub+AUT+CUB	10	40	10	40
KNN+Log+CUB+LEV	40	10	10	40
Med+Log+LEV+MED	10	40	10	40
Mea+Cub+LOE+LEV	40	10	10	40
Mea+Log+VSN	10	40	10	40
KNN+Cub+VAS+CUB	40	10	10	40
Med+Cub+VAS+CUB	40	10	10	40
Mea+Cub+VAS+CUB	10	40	5	40
Med+Log+CUB+LEV	10	40	5	40
Mea+Log+CUB+LEV	10	40	5	40
Med+Log+PQN+LEV	40	10	5	40
KNN+Log+LIN+LEV	10	40	5	40
KNN+Log+MST+LEV	40	10	5	40
KNN+Cub+LIN+LEV	40	10	5	40
KNN+Cub+MST+LEV	40	10	5	40
KNN+Log+PQN+LEV	40	10	5	40
Med+Log+QUA+POW	40	10	5	40
KNN+Cub+LEV+MEA	10	40	5	40
Med+Cub+LOE+LEV	40	10	40	5
Mea+Cub+LEV+MED	40	10	40	5
KNN+Cub+LEV+MED	40	10	40	5
KNN+Cub+LOE+LEV	40	10	5	40
KNN+Log+QUA+POW	40	10	40	5
Mea+Cub+QUA+LEV	10	40	5	40
KNN+Non+AUT+CUB	10	40	5	40
Med+Cub+AUT+CUB	10	40	5	40
KNN+Cub+PQN+LEV	10	10	5	40
KNN+Cub+QUA+LEV	10	10	5	40
Med+Non+POW+CUB	10	10	5	40
KNN+Non+PAR+CUB	5	10	10	40
Med+Cub+QUA+LEV	10	10	5	40
Med+Log+MST+NON	5	40	5	40
Mea+Log+MST+NON	40	10	5	5
Med+Cub+VSN	40	10	5	5
Mea+Cub+VSN	40	10	5	5
Med+Log+MST+PAR	5	10	40	5
Med+Log+POW+MEA	40	10	5	5
KNN+Log+CUB+NON	40	5	10	5
Med+Log+QUA+NON	40	10	5	5
KNN+Non+VSN	40	5	10	5
Mea+Cub+CUB+POW	40	10	5	5
Med+Log+MST+POW	40	10	5	5
Med+Log+QUA+LEV	5	10	40	5
Med+Log+CUB+NON	5	10	40	5
Mea+Log+MST+POW	5	10	40	5
Med+Log+LEV+MEA	5	10	40	5
KNN+Log+QUA+NON	5	10	40	5
KNN+Log+QUA+LEV	10	5	10	5
KNN+Log+MEA+NON	5	10	10	5
KNN+Log+LOE+NON	5	10	10	5
KNN+Log+LIN+NON	40	5	5	5
KNN+Log+LOE+LEV	40	5	5	5
Med+Non+LEV+CUB	5	5	10	5
KNN+Log+PQN+NON	5	5	5	5
Med+Non+MEA+RAN	40	40	10	40
Med+Log+MEA+NON	40	40	10	40
Mea+Log+POW+MED	40	40	10	40
Med+Log+LOE+NON	40	10	10	40
Mea+Log+LOE+POW	40	10	10	40
Med+Log+LEV+NON	10	40	10	40
KNN+Log+MED+NON	40	10	10	40
HaM+Non+LEV+MED	10	40	10	40
HaM+Non+LEV+MEA	40	10	10	40
Mea+Cub+QUA+POW	10	40	10	40
Med+Log+PQN+NON	40	10	10	40
Mea+Cub+LEV+MEA	10	40	10	40
Med+Log+LIN+LEV	40	10	10	40
Med+Log+MST+LEV	40	10	10	40
Med+Log+LIN+POW	10	40	5	40
Mea+Log+LEV+MED	10	40	5	40
Med+Log+MED+NON	10	40	5	40
Mea+Non+RAN+MEA	40	10	5	40
Mea+Non+MEA+RAN	10	40	5	40
Mea+Log+POW+MEA	40	10	5	40
KNN+Non+LEV+MED	40	10	5	40
Mea+Log+LIN+POW	40	10	5	40
Mea+Log+LEV+MEA	40	10	5	40
Med+Log+POW+MED	40	10	5	40
Mea+Log+LIN+LEV	10	40	5	40
Mea+Log+MST+LEV	40	10	40	5
Med+Log+LOE+POW	40	10	40	5
KNN+Non+LEV+MEA	40	10	40	5
Mea+Non+LEV+MEA	40	10	5	40
Mea+Non+LEV+MED	40	10	40	5
Med+Log+LOE+LEV	10	40	5	40
Mea+Log+QUA+LEV	10	40	5	40
Mea+Log+QUA+POW	10	40	5	40
HaM+Non+PQN+LEV	10	10	5	40
Mea+Non+RAN+MED	10	10	5	40
Mea+Cub+PQN+LEV	10	10	5	40
Mea+Cub+LIN+LEV	5	10	10	40
Mea+Cub+MST+LEV	10	10	5	40
Mea+Non+POW+CUB	5	40	5	40
Med+Log+PQN+POW	40	10	5	5
KNN+Non+RAN+MEA	40	10	5	5
Mea+Log+PQN+POW	40	10	5	5
Med+Non+LEV+MEA	5	10	40	5
Med+Non+RAN+MEA	40	10	5	5
KNN+Non+QUA+LEV	40	5	10	5
KNN+Non+LEV+CUB	40	10	5	5
Mea+Log+VAS+CUB	40	5	10	5
Med+Log+VAS+CUB	40	10	5	5
Med+Cub+LEV+CUB	40	10	5	5
Med+Cub+PQN+LEV	5	10	40	5
Med+Cub+LEV+MEA	5	10	40	5
Mea+Log+MST+PAR	5	10	40	5
Mea+Non+VSN	5	10	40	5
Med+Non+VSN	5	10	40	5
Med+Cub+LEV+MED	10	5	10	5
Med+Log+LEV+CUB	5	10	10	5
Med+Cub+LIN+LEV	5	10	10	5
Med+Cub+MST+LEV	40	5	5	5
Mea+Log+CUB+NON	40	5	5	5
KNN+Log+LIN+RAN	5	5	10	5
KNN+Log+MST+RAN	5	5	5	5
Med+Cub+MST+POW	40	40	10	40
Mea+Cub+MST+POW	40	40	10	40
KNN+Log+VSN	40	40	10	40
KNN+Cub+MST+POW	40	10	10	40
KNN+Log+MST+NON	40	10	10	40
KNN+Cub+MST+NON	10	40	10	40
HaM+Non+AUT+CUB	40	10	10	40
Mea+Cub+MST+NON	10	40	10	40
Mea+Non+AUT+CUB	40	10	10	40
Med+Log+VSN	10	40	10	40
Med+Non+AUT+CUB	40	10	10	40
Med+Cub+MST+NON	10	40	10	40
KNN+Log+MST+POW	40	10	10	40
HaM+Non+RAN+CUB	40	10	10	40
Med+Non+RAN+CUB	10	40	5	40
KNN+Cub+RAN+CUB	10	40	5	40
Mea+Cub+POW+CUB	10	40	5	40
Med+Non+PAR+CUB	40	10	5	40
Mea+Non+PAR+CUB	10	40	5	40
Mea+Log+CUB+POW	40	10	5	40
KNN+Cub+VSN	40	10	5	40
KNN+Cub+CUB+POW	40	10	5	40
Med+Cub+CUB+POW	40	10	5	40
KNN+Log+RAN+CUB	40	10	5	40
KNN+Log+LEV+MEA	10	40	5	40
KNN+Cub+MST+PAR	40	10	40	5
Med+Cub+MST+PAR	40	10	40	5
Mea+Cub+MST+PAR	40	10	40	5
KNN+Non+POW+CUB	40	10	5	40
KNN+Cub+LOE+POW	40	10	40	5
Med+Cub+LIN+POW	10	40	5	40
KNN+Log+CUB+POW	10	40	5	40
Med+Log+CUB+POW	10	40	5	40
KNN+Log+POW+MEA	10	10	5	40
Med+Cub+LOE+POW	10	10	5	40
Med+Cub+QUA+POW	10	10	5	40
Mea+Cub+LIN+POW	5	10	10	40
Med+Cub+RAN+CUB	10	10	5	40
KNN+Log+LIN+POW	5	40	5	40
Mea+Cub+RAN+CUB	40	10	5	5
KNN+Cub+LIN+POW	40	10	5	5
KNN+Cub+POW+MED	40	10	5	5
Mea+Cub+LOE+POW	5	10	40	5
KNN+Cub+QUA+POW	40	10	5	5
Mea+Log+RAN+CUB	40	5	10	5
KNN+Log+LEV+MED	40	10	5	5
HaM+Cub+PAR+CUB	40	5	10	5
Med+Cub+POW+MED	40	10	5	5
KNN+Log+LOE+POW	40	10	5	5
Med+Cub+PAR+CUB	5	10	40	5
Med+Cub+POW+MEA	5	10	40	5
Mea+Cub+PAR+CUB	5	10	40	5
KNN+Cub+CUB+LEV	5	10	40	5
Mea+Cub+POW+MED	5	10	40	5
Med+Cub+CUB+LEV	10	5	10	5
Mea+Cub+POW+MEA	5	10	10	5
HaM+Non+PAR+CUB	5	10	10	5
Med+Cub+PQN+POW	40	5	5	5
KNN+Log+POW+MED	40	5	5	5
KNN+Cub+PQN+POW	5	5	10	5
KNN+Non+MST+POW	5	5	5	5
Mea+Non+MST+POW	40	40	10	40
KNN+Cub+POW+MEA	40	40	10	40
Mea+Cub+PQN+POW	40	40	10	40
Mea+Cub+CUB+LEV	40	10	10	40
KNN+Cub+PAR+CUB	40	10	10	40
KNN+Log+PQN+POW	10	40	10	40
KNN+Cub+AUT+CUB	40	10	10	40
Mea+Cub+AUT+CUB	10	40	10	40
KNN+Log+CUB+LEV	40	10	10	40
Med+Log+LEV+MED	10	40	10	40
Mea+Cub+LOE+LEV	40	10	10	40
Mea+Log+VSN	10	40	10	40
KNN+Cub+VAS+CUB	40	10	10	40
Med+Cub+VAS+CUB	40	10	10	40
Mea+Cub+VAS+CUB	10	40	5	40
Med+Log+CUB+LEV	10	40	5	40
Mea+Log+CUB+LEV	10	40	5	40
Med+Log+PQN+LEV	40	10	5	40
KNN+Log+LIN+LEV	10	40	5	40
KNN+Log+MST+LEV	40	10	5	40
KNN+Cub+LIN+LEV	40	10	5	40
KNN+Cub+MST+LEV	40	10	5	40
KNN+Log+PQN+LEV	40	10	5	40
Med+Log+QUA+POW	40	10	5	40
KNN+Cub+LEV+MEA	10	40	5	40
Med+Cub+LOE+LEV	40	10	40	5
Mea+Cub+LEV+MED	40	10	40	5
KNN+Cub+LEV+MED	40	10	40	5
KNN+Cub+LOE+LEV	40	10	5	40
KNN+Log+QUA+POW	40	10	40	5
Mea+Cub+QUA+LEV	10	40	5	40
KNN+Non+AUT+CUB	10	40	5	40
Med+Cub+AUT+CUB	10	40	5	40
KNN+Cub+PQN+LEV	10	10	5	40
KNN+Cub+QUA+LEV	10	10	5	40
Med+Non+POW+CUB	10	10	5	40
KNN+Non+PAR+CUB	5	10	10	40
Med+Cub+QUA+LEV	10	10	5	40
Med+Log+MST+NON	5	40	5	40
Mea+Log+MST+NON	40	10	5	5
Med+Cub+VSN	40	10	5	5
Mea+Cub+VSN	40	10	5	5
Med+Log+MST+PAR	5	10	40	5
Med+Log+POW+MEA	40	10	5	5
KNN+Log+CUB+NON	40	5	10	5
Med+Log+QUA+NON	40	10	5	5
KNN+Non+VSN	40	5	10	5
Mea+Cub+CUB+POW	40	10	5	5
Med+Log+MST+POW	40	10	5	5
Med+Log+QUA+LEV	5	10	40	5
Med+Log+CUB+NON	5	10	40	5
Mea+Log+MST+POW	5	10	40	5
Med+Log+LEV+MEA	5	10	40	5
KNN+Log+QUA+NON	5	10	40	5
KNN+Log+QUA+LEV	10	5	10	5
KNN+Log+MEA+NON	5	10	10	5
KNN+Log+LOE+NON	5	10	10	5
KNN+Log+LIN+NON	40	5	5	5
KNN+Log+LOE+LEV	40	5	5	5
Med+Non+LEV+CUB	5	5	10	5
KNN+Log+PQN+NON	5	5	5	5
Med+Non+MEA+RAN	40	40	10	40
Med+Log+MEA+NON	40	40	10	40
Mea+Log+POW+MED	40	40	10	40
Med+Log+LOE+NON	40	10	10	40
Mea+Log+LOE+POW	40	10	10	40
Med+Log+LEV+NON	10	40	10	40
KNN+Log+MED+NON	40	10	10	40
HaM+Non+LEV+MED	10	40	10	40
HaM+Non+LEV+MEA	40	10	10	40
Mea+Cub+QUA+POW	10	40	10	40
Med+Log+PQN+NON	40	10	10	40
Mea+Cub+LEV+MEA	10	40	10	40
Med+Log+LIN+LEV	40	10	10	40
Med+Log+MST+LEV	40	10	10	40
Med+Log+LIN+POW	10	40	5	40
Mea+Log+LEV+MED	10	40	5	40
Med+Log+MED+NON	10	40	5	40
Mea+Non+RAN+MEA	40	10	5	40
Mea+Non+MEA+RAN	10	40	5	40
Mea+Log+POW+MEA	40	10	5	40
KNN+Non+LEV+MED	40	10	5	40
Mea+Log+LIN+POW	40	10	5	40
Mea+Log+LEV+MEA	40	10	5	40
Med+Log+POW+MED	40	10	5	40
Mea+Log+LIN+LEV	10	40	5	40
Mea+Log+MST+LEV	40	10	40	5
Med+Log+LOE+POW	40	10	40	5
KNN+Non+LEV+MEA	40	10	40	5
Mea+Non+LEV+MEA	40	10	5	40
Mea+Non+LEV+MED	40	10	40	5
Med+Log+LOE+LEV	10	40	5	40
Mea+Log+QUA+LEV	10	40	5	40
Mea+Log+QUA+POW	10	40	5	40
HaM+Non+PQN+LEV	10	10	5	40
Mea+Non+RAN+MED	10	10	5	40
Mea+Cub+PQN+LEV	10	10	5	40
Mea+Cub+LIN+LEV	5	10	10	40
Mea+Cub+MST+LEV	10	10	5	40
Mea+Non+POW+CUB	5	40	5	40
Med+Log+PQN+POW	40	10	5	5
KNN+Non+RAN+MEA	40	10	5	5
Mea+Log+PQN+POW	40	10	5	5
Med+Non+LEV+MEA	5	10	40	5
Med+Non+RAN+MEA	40	10	5	5
KNN+Non+QUA+LEV	40	5	10	5
KNN+Non+LEV+CUB	40	10	5	5
Mea+Log+VAS+CUB	40	5	10	5
Med+Log+VAS+CUB	40	10	5	5
Med+Cub+LEV+CUB	40	10	5	5
Med+Cub+PQN+LEV	5	10	40	5
Med+Cub+LEV+MEA	5	10	40	5
Mea+Log+MST+PAR	5	10	40	5
Mea+Non+VSN	5	10	40	5
Med+Non+VSN	5	10	40	5
Med+Cub+LEV+MED	10	5	10	5
Med+Log+LEV+CUB	5	10	10	5
Med+Cub+LIN+LEV	5	10	10	5
Med+Cub+MST+LEV	40	5	5	5
Mea+Log+CUB+NON	40	5	5	5
KNN+Log+LIN+RAN	5	5	10	5
KNN+Log+MST+RAN	5	5	5	5
Med+Cub+MST+POW	40	40	10	40
Mea+Cub+MST+POW	40	40	10	40
KNN+Log+VSN	40	40	10	40
KNN+Cub+MST+POW	40	10	10	40
KNN+Log+MST+NON	40	10	10	40
KNN+Cub+MST+NON	10	40	10	40
HaM+Non+AUT+CUB	40	10	10	40
Mea+Cub+MST+NON	10	40	10	40
Mea+Non+AUT+CUB	40	10	10	40
Med+Log+VSN	10	40	10	40
Med+Non+AUT+CUB	40	10	10	40
Med+Cub+MST+NON	10	40	10	40
KNN+Log+MST+POW	40	10	10	40
HaM+Non+RAN+CUB	40	10	10	40
Med+Non+RAN+CUB	10	40	5	40
KNN+Cub+RAN+CUB	10	40	5	40
Mea+Cub+POW+CUB	10	40	5	40
Med+Non+PAR+CUB	40	10	5	40
Mea+Non+PAR+CUB	10	40	5	40
Mea+Log+CUB+POW	40	10	5	40
KNN+Cub+VSN	40	10	5	40
KNN+Cub+CUB+POW	40	10	5	40
Med+Cub+CUB+POW	40	10	5	40
KNN+Log+RAN+CUB	40	10	5	40
KNN+Log+LEV+MEA	10	40	5	40
KNN+Cub+MST+PAR	40	10	40	5
Med+Cub+MST+PAR	40	10	40	5
Mea+Cub+MST+PAR	40	10	40	5
KNN+Non+POW+CUB	40	10	5	40
KNN+Cub+LOE+POW	40	10	40	5
Med+Cub+LIN+POW	10	40	5	40
KNN+Log+CUB+POW	10	40	5	40
Med+Log+CUB+POW	10	40	5	40
KNN+Log+POW+MEA	10	10	5	40
Med+Cub+LOE+POW	10	10	5	40
Med+Cub+QUA+POW	10	10	5	40
Mea+Cub+LIN+POW	5	10	10	40
Med+Cub+RAN+CUB	10	10	5	40
KNN+Log+LIN+POW	5	40	5	40
Mea+Cub+RAN+CUB	40	10	5	5
KNN+Cub+LIN+POW	40	10	5	5
KNN+Cub+POW+MED	40	10	5	5
Mea+Cub+LOE+POW	5	10	40	5
KNN+Cub+QUA+POW	40	10	5	5
Mea+Log+RAN+CUB	40	5	10	5
KNN+Log+LEV+MED	40	10	5	5
HaM+Cub+PAR+CUB	40	5	10	5
Med+Cub+POW+MED	40	10	5	5
KNN+Log+LOE+POW	40	10	5	5
Med+Cub+PAR+CUB	5	10	40	5
Med+Cub+POW+MEA	5	10	40	5
Mea+Cub+PAR+CUB	5	10	40	5
KNN+Cub+CUB+LEV	5	10	40	5
Mea+Cub+POW+MED	5	10	40	5
Med+Cub+CUB+LEV	10	5	10	5
Mea+Cub+POW+MEA	5	10	10	5
HaM+Non+PAR+CUB	5	10	10	5
Med+Cub+PQN+POW	40	5	5	5
KNN+Log+POW+MED	40	5	5	5
KNN+Cub+PQN+POW	5	5	10	5
KNN+Non+MST+POW	5	5	5	5
Mea+Non+MST+POW	40	40	10	40
KNN+Cub+POW+MEA	40	40	10	40
Mea+Cub+PQN+POW	40	40	10	40
Mea+Cub+CUB+LEV	40	10	10	40
KNN+Cub+PAR+CUB	40	10	10	40
KNN+Log+PQN+POW	10	40	10	40
KNN+Cub+AUT+CUB	40	10	10	40
Mea+Cub+AUT+CUB	10	40	10	40
KNN+Log+CUB+LEV	40	10	10	40
Med+Log+LEV+MED	10	40	10	40
Mea+Cub+LOE+LEV	40	10	10	40
Mea+Log+VSN	10	40	10	40
KNN+Cub+VAS+CUB	40	10	10	40
Med+Cub+VAS+CUB	40	10	10	40
Mea+Cub+VAS+CUB	10	40	5	40
Med+Log+CUB+LEV	10	40	5	40
Mea+Log+CUB+LEV	10	40	5	40
Med+Log+PQN+LEV	40	10	5	40
KNN+Log+LIN+LEV	10	40	5	40
KNN+Log+MST+LEV	40	10	5	40
KNN+Cub+LIN+LEV	40	10	5	40
KNN+Cub+MST+LEV	40	10	5	40
KNN+Log+PQN+LEV	40	10	5	40
Med+Log+QUA+POW	40	10	5	40
KNN+Cub+LEV+MEA	10	40	5	40
Med+Cub+LOE+LEV	40	10	40	5
Mea+Cub+LEV+MED	40	10	40	5
KNN+Cub+LEV+MED	40	10	40	5
KNN+Cub+LOE+LEV	40	10	5	40
KNN+Log+QUA+POW	40	10	40	5
Mea+Cub+QUA+LEV	10	40	5	40
KNN+Non+AUT+CUB	10	40	5	40
Med+Cub+AUT+CUB	10	40	5	40
KNN+Cub+PQN+LEV	10	10	5	40
KNN+Cub+QUA+LEV	10	10	5	40
Med+Non+POW+CUB	10	10	5	40
KNN+Non+PAR+CUB	5	10	10	40
Med+Cub+QUA+LEV	10	10	5	40
Med+Log+MST+NON	5	40	5	40
Mea+Log+MST+NON	40	10	5	5
Med+Cub+VSN	40	10	5	5
Mea+Cub+VSN	40	10	5	5
Med+Log+MST+PAR	5	10	40	5
Med+Log+POW+MEA	40	10	5	5
KNN+Log+CUB+NON	40	5	10	5
Med+Log+QUA+NON	40	10	5	5
KNN+Non+VSN	40	5	10	5
Mea+Cub+CUB+POW	40	10	5	5
Med+Log+MST+POW	40	10	5	5
Med+Log+QUA+LEV	5	10	40	5
Med+Log+CUB+NON	5	10	40	5
Mea+Log+MST+POW	5	10	40	5
Med+Log+LEV+MEA	5	10	40	5
KNN+Log+QUA+NON	5	10	40	5
KNN+Log+QUA+LEV	10	5	10	5
KNN+Log+MEA+NON	5	10	10	5
KNN+Log+LOE+NON	5	10	10	5
KNN+Log+LIN+NON	40	5	5	5
KNN+Log+LOE+LEV	40	5	5	5
Med+Non+LEV+CUB	5	5	10	5
KNN+Log+PQN+NON	5	5	5	5
Med+Non+MEA+RAN	40	40	10	40
Med+Log+MEA+NON	40	40	10	40
Mea+Log+POW+MED	40	40	10	40
Med+Log+LOE+NON	40	10	10	40
Mea+Log+LOE+POW	40	10	10	40
Med+Log+LEV+NON	10	40	10	40
KNN+Log+MED+NON	40	10	10	40
HaM+Non+LEV+MED	10	40	10	40
HaM+Non+LEV+MEA	40	10	10	40
Mea+Cub+QUA+POW	10	40	10	40
Med+Log+PQN+NON	40	10	10	40
Mea+Cub+LEV+MEA	10	40	10	40
Med+Log+LIN+LEV	40	10	10	40
Med+Log+MST+LEV	40	10	10	40
Med+Log+LIN+POW	10	40	5	40
Mea+Log+LEV+MED	10	40	5	40
Med+Log+MED+NON	10	40	5	40
Mea+Non+RAN+MEA	40	10	5	40
Mea+Non+MEA+RAN	10	40	5	40
Mea+Log+POW+MEA	40	10	5	40
KNN+Non+LEV+MED	40	10	5	40
Mea+Log+LIN+POW	40	10	5	40
Mea+Log+LEV+MEA	40	10	5	40
Med+Log+POW+MED	40	10	5	40
Mea+Log+LIN+LEV	10	40	5	40
Mea+Log+MST+LEV	40	10	40	5
Med+Log+LOE+POW	40	10	40	5
KNN+Non+LEV+MEA	40	10	40	5
Mea+Non+LEV+MEA	40	10	5	40
Mea+Non+LEV+MED	40	10	40	5
Med+Log+LOE+LEV	10	40	5	40
Mea+Log+QUA+LEV	10	40	5	40
Mea+Log+QUA+POW	10	40	5	40
HaM+Non+PQN+LEV	10	10	5	40
Mea+Non+RAN+MED	10	10	5	40
Mea+Cub+PQN+LEV	10	10	5	40
Mea+Cub+LIN+LEV	5	10	10	40
Mea+Cub+MST+LEV	10	10	5	40
Mea+Non+POW+CUB	5	40	5	40
Med+Log+PQN+POW	40	10	5	5
KNN+Non+RAN+MEA	40	10	5	5
Mea+Log+PQN+POW	40	10	5	5
Med+Non+LEV+MEA	5	10	40	5
Med+Non+RAN+MEA	40	10	5	5
KNN+Non+QUA+LEV	40	5	10	5
KNN+Non+LEV+CUB	40	10	5	5
Mea+Log+VAS+CUB	40	5	10	5
Med+Log+VAS+CUB	40	10	5	5
Med+Cub+LEV+CUB	40	10	5	5
Med+Cub+PQN+LEV	5	10	40	5
Med+Cub+LEV+MEA	5	10	40	5
Mea+Log+MST+PAR	5	10	40	5
Mea+Non+VSN	5	10	40	5
Med+Non+VSN	5	10	40	5
Med+Cub+LEV+MED	10	5	10	5
Med+Log+LEV+CUB	5	10	10	5
Med+Cub+LIN+LEV	5	10	10	5
Med+Cub+MST+LEV	40	5	5	5
Mea+Log+CUB+NON	40	5	5	5
KNN+Log+LIN+RAN	5	5	10	5
KNN+Log+MST+RAN	5	5	5	5
Med+Cub+MST+POW	40	40	10	40
Mea+Cub+MST+POW	40	40	10	40
KNN+Log+VSN	40	40	10	40
KNN+Cub+MST+POW	40	10	10	40
KNN+Log+MST+NON	40	10	10	40
KNN+Cub+MST+NON	10	40	10	40
HaM+Non+AUT+CUB	40	10	10	40
Mea+Cub+MST+NON	10	40	10	40
Mea+Non+AUT+CUB	40	10	10	40
Med+Log+VSN	10	40	10	40
Med+Non+AUT+CUB	40	10	10	40
Med+Cub+MST+NON	10	40	10	40
KNN+Log+MST+POW	40	10	10	40
HaM+Non+RAN+CUB	40	10	10	40
Med+Non+RAN+CUB	10	40	5	40
KNN+Cub+RAN+CUB	10	40	5	40
Mea+Cub+POW+CUB	10	40	5	40
Med+Non+PAR+CUB	40	10	5	40
Mea+Non+PAR+CUB	10	40	5	40
Mea+Log+CUB+POW	40	10	5	40
KNN+Cub+VSN	40	10	5	40
KNN+Cub+CUB+POW	40	10	5	40
Med+Cub+CUB+POW	40	10	5	40
KNN+Log+RAN+CUB	40	10	5	40
KNN+Log+LEV+MEA	10	40	5	40
KNN+Cub+MST+PAR	40	10	40	5
Med+Cub+MST+PAR	40	10	40	5
Mea+Cub+MST+PAR	40	10	40	5
KNN+Non+POW+CUB	40	10	5	40
KNN+Cub+LOE+POW	40	10	40	5
Med+Cub+LIN+POW	10	40	5	40
KNN+Log+CUB+POW	10	40	5	40
Med+Log+CUB+POW	10	40	5	40
KNN+Log+POW+MEA	10	10	5	40
Med+Cub+LOE+POW	10	10	5	40
Med+Cub+QUA+POW	10	10	5	40
Mea+Cub+LIN+POW	5	10	10	40
Med+Cub+RAN+CUB	10	10	5	40
KNN+Log+LIN+POW	5	40	5	40
Mea+Cub+RAN+CUB	40	10	5	5
KNN+Cub+LIN+POW	40	10	5	5
KNN+Cub+POW+MED	40	10	5	5
Mea+Cub+LOE+POW	5	10	40	5
KNN+Cub+QUA+POW	40	10	5	5
Mea+Log+RAN+CUB	40	5	10	5
KNN+Log+LEV+MED	40	10	5	5
HaM+Cub+PAR+CUB	40	5	10	5
Med+Cub+POW+MED	40	10	5	5
KNN+Log+LOE+POW	40	10	5	5
Med+Cub+PAR+CUB	5	10	40	5
Med+Cub+POW+MEA	5	10	40	5
Mea+Cub+PAR+CUB	5	10	40	5
KNN+Cub+CUB+LEV	5	10	40	5
Mea+Cub+POW+MED	5	10	40	5
Med+Cub+CUB+LEV	10	5	10	5
Mea+Cub+POW+MEA	5	10	10	5
HaM+Non+PAR+CUB	5	10	10	5
Med+Cub+PQN+POW	40	5	5	5
KNN+Log+POW+MED	40	5	5	5
KNN+Cub+PQN+POW	5	5	10	5
KNN+Non+MST+POW	5	5	5	5
Mea+Non+MST+POW	40	40	10	40
KNN+Cub+POW+MEA	40	40	10	40
Mea+Cub+PQN+POW	40	40	10	40
Mea+Cub+CUB+LEV	40	10	10	40
KNN+Cub+PAR+CUB	40	10	10	40
KNN+Log+PQN+POW	10	40	10	40
KNN+Cub+AUT+CUB	40	10	10	40
Mea+Cub+AUT+CUB	10	40	10	40
KNN+Log+CUB+LEV	40	10	10	40
Med+Log+LEV+MED	10	40	10	40
Mea+Cub+LOE+LEV	40	10	10	40
Mea+Log+VSN	10	40	10	40
KNN+Cub+VAS+CUB	40	10	10	40
Med+Cub+VAS+CUB	40	10	10	40
Mea+Cub+VAS+CUB	10	40	5	40
Med+Log+CUB+LEV	10	40	5	40
Mea+Log+CUB+LEV	10	40	5	40
Med+Log+PQN+LEV	40	10	5	40
KNN+Log+LIN+LEV	10	40	5	40
KNN+Log+MST+LEV	40	10	5	40
KNN+Cub+LIN+LEV	40	10	5	40
KNN+Cub+MST+LEV	40	10	5	40
KNN+Log+PQN+LEV	40	10	5	40
Med+Log+QUA+POW	40	10	5	40
KNN+Cub+LEV+MEA	10	40	5	40
Med+Cub+LOE+LEV	40	10	40	5
Mea+Cub+LEV+MED	40	10	40	5
KNN+Cub+LEV+MED	40	10	40	5
KNN+Cub+LOE+LEV	40	10	5	40
KNN+Log+QUA+POW	40	10	40	5
Mea+Cub+QUA+LEV	10	40	5	40
KNN+Non+AUT+CUB	10	40	5	40
Med+Cub+AUT+CUB	10	40	5	40
KNN+Cub+PQN+LEV	10	10	5	40
KNN+Cub+QUA+LEV	10	10	5	40
Med+Non+POW+CUB	10	10	5	40
KNN+Non+PAR+CUB	5	10	10	40
Med+Cub+QUA+LEV	10	10	5	40
Med+Log+MST+NON	5	40	5	40
Mea+Log+MST+NON	40	10	5	5
Med+Cub+VSN	40	10	5	5
Mea+Cub+VSN	40	10	5	5
Med+Log+MST+PAR	5	10	40	5
Med+Log+POW+MEA	40	10	5	5
KNN+Log+CUB+NON	40	5	10	5
Med+Log+QUA+NON	40	10	5	5
KNN+Non+VSN	40	5	10	5
Mea+Cub+CUB+POW	40	10	5	5
Med+Log+MST+POW	40	10	5	5
Med+Log+QUA+LEV	5	10	40	5
Med+Log+CUB+NON	5	10	40	5
Mea+Log+MST+POW	5	10	40	5
Med+Log+LEV+MEA	5	10	40	5
KNN+Log+QUA+NON	5	10	40	5
KNN+Log+QUA+LEV	10	5	10	5
KNN+Log+MEA+NON	5	10	10	5
KNN+Log+LOE+NON	5	10	10	5
KNN+Log+LIN+NON	40	5	5	5
KNN+Log+LOE+LEV	40	5	5	5
