Target Name	Label	First Approval Drug	Drug Type	Disease	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Insulin	Human/Protein	Insulin Human	Protein drug	Metabo	P1 (1||{"P1": {"Insulin Human": "PMID: 25429881||However, it was not until 1921 that insulin was purified, which was used to treat diabetes in 1922. "}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Insulin Human": "NDA018780"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Bacterial penicillin-binding proteins	Non-Human/Protein	Penicillin	Small molecule	Infection	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Penicillin": "PMID: 3511336||But, as this paper shows, penicillin was used therapeutically and successfully, as a local application, as early as 1930. Three claims that penicillin had been used effectively on patients around that time have arisen from work by Fleming himself, C.G. Paine, and A. Dickson Wright, but until now no claim has been substantiated by documented clinical notes."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Penicillin": "ANDA060074"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Bacterial DNA topoisomerase IV	Non-Human/Protein	Nalidixic acid	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Nalidixic acid": "PMID 12702699||The discovery of nalidixic acid in 1962, and its introduction for clinical use in 1967, marks the beginning of five decades of quinolone development and use.; https://en.wikipedia.org/wiki/Nalidixic_acid||Synthetic quinolone antibiotics were discovered by George Lesher and coworkers as a byproduct of chloroquine manufacture in the 1960s.Used clinically from 1967."}})	P1 (1||{"P1": {"Nalidixic acid": "PMID: 14058206||The data on previous bacteriological, toxicological, and pharmacological studies obtained at the Sterling Winthrop Research Institute have been summarized by Lishman and Swinney (1963)."}})	P4 (1||{"P4": {"Nalidixic acid": "NDA014214"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Bacterial DNA gyrase	Non-Human/Protein	Nalidixic acid	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Nalidixic acid": "PMID 12702699||The discovery of nalidixic acid in 1962, and its introduction for clinical use in 1967, marks the beginning of five decades of quinolone development and use.; https://en.wikipedia.org/wiki/Nalidixic_acid||Synthetic quinolone antibiotics were discovered by George Lesher and coworkers as a byproduct of chloroquine manufacture in the 1960s.Used clinically from 1967."}})	P1 (1||{"P1": {"Nalidixic acid": "PMID: 14058206||The data on previous bacteriological, toxicological, and pharmacological studies obtained at the Sterling Winthrop Research Institute have been summarized by Lishman and Swinney (1963)."}})	P4 (1||{"P4": {"Nalidixic acid": "NDA014214"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DNA-dependent RNA polymerase	Non-Human/Protein	Rifampin	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Rifampin": "PMID: 5322667"}})	?P1	.	.	.	P4 (1||{"P4": {"Rifampin": "NDA050420"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Reverse transcriptase/ribonuclease H 	Non-Human/Protein	Zidovudine	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Zidovudine": "PMID: 2869302||In a 6-week clinical trial 4 dose regimens of 3’-azido-3’-deoxythymidine (AZT), a thymidine analogue with potent anti-viral activity against HTLV-III in vitro, were examined in 19 patients with the acquired immunodeficiency syndrome (AIDS) or AIDSrelated complex (ARC)."}})	?P1	P4 (1||{"P4": {"Zidovudine": "NDA019655"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Polymerase/reverse transcriptase domain (RT)	Non-Human/Protein	Lamivudine	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Lamivudine": "PMID: 1283519||The safety and pharmacokinetics of a reverse transcriptase inhibitor, 3TC, in patients with HIV infection: a phase I study."}})	?P1	.	P4 (1||{"P4": {"Lamivudine": "NDA020564"}})	.	.	.	.	.	.	.	.
Neuraminidase	Non-Human/Protein	Zanamivir	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Zanamivir": "PMID: 10711940||Inhaled zanamivir entered clinical trials in 1994. The first orally active inhibitor, oseltamivir, was described by Kim and colleagues in 1997; A second oral agent (RWJ270201, BCX-1812) entered clinical trials in 1999. The first inhibitors of influenza virus neuraminidase (NA), developed by P Meindl and H Tuppy in 1969, inhibited viral replication but had low potency and specificity.; https://en.wikipedia.org/wiki/Discovery_and_development_of_neuraminidase_inhibitors#cite_note-christ-1||Then it was found that the synthetic compound 2-deoxy-2,3-didehydro-N-acetylneuraminic acid(Neu5Ac2en or DANA) which is an analogue of N-acetylneuraminic acid (Neu5Ac), inhibits the release of virus progeny in tissue culture but no antiviral activity in animals was detected."}})	?P1	P2 (1||{"P2": {"Relenza IV": "PMID: 8544269||Safety and Efficacy of the Neuraminidase Inhibitor GG167 in Experimental Human Influenza"}})	.	P3 (1||{"P3": {"Relenza IV": "PMID: 9863784||Randomised Trial of Efficacy and Safety of Inhaled Zanamivir in Treatment of Influenza A and B Virus Infections. The MIST (Management of Influenza in the Southern Hemisphere Trialists) Study Group"}})	P4 (1||{"P4": {"Zanamivir": "NDA021036"}})	.	.	.	.
1,3-beta-d-glucan synthase	Non-Human/Protein	Caspofungin	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Caspofungin": "PMID: 21925846||Clinical studies with CAS were first initiated in 1995."}})	?P1	.	P1 (1||{"P1": {"Micafungin": "NCT00001790"}})	P3 (1||{"P3": {"Micafungin": "NCT00001937; NCT00036166; NCT00036179"}})	P3 (2||{"P3": {"Caspofungin": "NCT00008359", "Micafungin": "NCT00001937; NCT00036166; NCT00036179"}})	P4 (3||{"P2": {"Anidulafungin": "NCT00037219", "Micafungin": "NCT00036166; NCT00036179"}, "P4": {"Caspofungin": "NDA021227"}})	.	.
Pyruvate dehydrogenase [NADP(+)]	Non-Human/Protein	Nitazoxanide	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Nitazoxanide": "PMID: 11362906||A phase I/II dose-ranging study of nitazoxanide (NTZ; NCT00002444), a new drug for cryptosporidiosis, is opening this month at Cornell/New York Hospital."}})	P1 (1||{"P1": {"Nitazoxanide": "NCT00002444"}})	.	P2/P3 (1||{"P2/P3": {"Nitazoxanide": "NCT00001081||A Study of Nitazoxanide in Patients With AIDS and Diarrhea Caused by Cryptosporidium"}})	.	P3 (1||{"P3": {"Nitazoxanide": "NCT00004986||Safety and Effectiveness of Nitazoxanide for the Treatment of Cryptosporidiosis in AIDS Patients"}})	.	P4 (1||{"P4": {"Nitazoxanide": "NDA021498"}})	.
Transmembrane protein gp41	Non-Human/Protein	Enfuvirtide	Protein drug	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Enfuvirtide": "PMID: 9809555||Here we report the results of the first clinical trial, to our knowledge, examining the safety, pharmacokinetics and anti-retroviral activity of T-20 administered intravenously to HIV-infected humans."}})	P2 (1||{"P2": {"Enfuvirtide": "NCT00002239||A Study to Compare Three Doses of T-20 When Given in Combination With Abacavir, Amprenavir, Ritonavir, and Efavirenz to HIV-Infected Adults"}})	.	.	.	P4 (1||{"P4": {"Enfuvirtide": "NDA021481"}})
Bacterial 50S ribosome subunit	Non-Human/Non-Protein	Erythromycin	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Erythromycin": "U.S. Patent: US2653899"}})	P4 (1||{"P4": {"Erythromycin": "PMID: 14947931"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Bacterial cell membrane	Non-Human/Non-Protein	Chlorhexidine	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Chlorhexidine": "PMID: 18171263"}})	.	.	.	.	P4 (1||{"P4": {"Chlorhexidine": "https://drugs.ncats.io/drug/R4KO0DY52L"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DNA polymerase catalytic subunit	Non-Human/Protein	Acyclovir	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Acyclovir": "PMID: 91931||ACYCLOVIR FOR TREATMENT OF MUCOCUTANEOUS HERPES INFECTION IN A CHILD WITH LEUK&AElig;MIA"}})	?P1	.	P4 (1||{"P4": {"Acyclovir": "NDA018604"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Lanosterol 14-alpha demethylase	Non-Human/Protein	Fluconazole	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1/P2 (2||{"P1": {"Fluconazole": "PMID: 3004323"}, "P1/P2": {"Itraconazole": "NCT00004811||Phase I/II Study of Itraconazole for Blastomycosis, Histoplasmosis, and Sporotrichosis"}})	.	.	.	P3 (1||{"P3": {"Fluconazole": "PMID: 2539186||A Comparison of Single-Dose Oral Fluconazole With 3-day Intravaginal Clotrimazole in the Treatment of Vaginal Candidiasis. Report of an International Multicentre Trial"}})	P4 (1||{"P4": {"Fluconazole": "NDA019949"}})	.	.	.	.	.	.	.	.	.	.	.	.	.
Protease	Non-Human/Protein	Saquinavir mesylate	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Saquinavir mesylate": "NCT02184286; PMID:7840913||There are several proteinase inhibitors in development; the first to enter clinical trials was saquinavir.Three clinical studies involving a total of 202 patients treated with saquinavir have been conducted in the United Kingdom, France and Italy during 1992-1993."}})	?P1	P2 (1||{"P2": {"Saquinavir mesylate": "NCT00001040||Comparison of Ro 31-8959 Plus Zidovudine (AZT) Versus AZT Plus Zalcitabine (ddC) Versus Ro 31-8959 Plus AZT Plus ddC"}})	P4 (3||{"P1": {"Indinavir sulfate": "NCT00001443"}, "P1/P2": {"Ritonavir": "PMID: 7477167"}, "P4": {"Saquinavir mesylate": "NDA020628"}})	.	.	.	.	.	.	.	.
Fungal fumarate reductase	Non-Human/Protein	Thiabendazole	Small molecule	Infection	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2 (1||{"P2": {"Thiabendazole": "PMID: 5324370||Thiabendazole was administered orally to 40 ancylostomiasis patients at 50 mg. per kg. body-weight as a suspension or as chewable tablets. With the suspension, over 80% reduction in egg counts occurred in 6 of 16 cases."}})	P4 (1||{"P4": {"Thiabendazole": "NDA016096"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
